Tue Feb 15 23:23:25 2011: { 'APP_VERSION' => 'CMSSW_3_11_0_ONLINE', 'APP_NAME' => 'CMSSW', 'Tier0Inject' => '1', 'HLTKEY' => '/cdaq/special/HLT_Basic/HLT_Basic_v2/V2', 'NEVENTS' => '241', 'RUNNUMBER' => '157957', 'CHECKSUM' => '653d14eb', 'T0FirstKnownTime' => '0', 'PFN' => '/castor/cern.ch/cms/store/t0streamer/Data/A/000/157/957/Data.00157957.0312.A.storageManager.08.0000.dat', 'STREAM' => 'A', 'LUMISECTION' => '312', 'START_TIME' => '0', 'TYPE' => 'streamer', 'FILESIZE' => '23278160', 'STOP_TIME' => '0', 'LFN' => '/store/t0streamer/Data/A/000/157/957/Data.00157957.0312.A.storageManager.08.0000.dat' }
Tue Feb 15 23:23:25 2011: { 'APP_VERSION' => 'CMSSW_3_11_0_ONLINE', 'APP_NAME' => 'CMSSW', 'Tier0Inject' => '1', 'HLTKEY' => '/cdaq/special/HLT_Basic/HLT_Basic_v2/V2', 'NEVENTS' => '247', 'RUNNUMBER' => '157957', 'CHECKSUM' => '40565337', 'T0FirstKnownTime' => '0', 'PFN' => '/castor/cern.ch/cms/store/t0streamer/Data/A/000/157/957/Data.00157957.0312.A.storageManager.02.0000.dat', 'STREAM' => 'A', 'LUMISECTION' => '312', 'START_TIME' => '0', 'TYPE' => 'streamer', 'FILESIZE' => '23748937', 'STOP_TIME' => '0', 'LFN' => '/store/t0streamer/Data/A/000/157/957/Data.00157957.0312.A.storageManager.02.0000.dat' }
Tue Feb 15 23:23:25 2011: { 'APP_VERSION' => 'CMSSW_3_11_0_ONLINE', 'APP_NAME' => 'CMSSW', 'Tier0Inject' => '1', 'HLTKEY' => '/cdaq/special/HLT_Basic/HLT_Basic_v2/V2', 'NEVENTS' => '243', 'RUNNUMBER' => '157957', 'CHECKSUM' => 'a3862d41', 'T0FirstKnownTime' => '0', 'PFN' => '/castor/cern.ch/cms/store/t0streamer/Data/A/000/157/957/Data.00157957.0312.A.storageManager.10.0000.dat', 'STREAM' => 'A', 'LUMISECTION' => '312', 'START_TIME' => '0', 'TYPE' => 'streamer', 'FILESIZE' => '23431527', 'STOP_TIME' => '0', 'LFN' => '/store/t0streamer/Data/A/000/157/957/Data.00157957.0312.A.storageManager.10.0000.dat' }
Tue Feb 15 23:23:25 2011: { 'APP_VERSION' => 'CMSSW_3_11_0_ONLINE', 'APP_NAME' => 'CMSSW', 'Tier0Inject' => '1', 'HLTKEY' => '/cdaq/special/HLT_Basic/HLT_Basic_v2/V2', 'NEVENTS' => '174', 'RUNNUMBER' => '157957', 'CHECKSUM' => '97d71da6', 'T0FirstKnownTime' => '0', 'PFN' => '/castor/cern.ch/cms/store/t0streamer/Data/Calibration/000/157/957/Data.00157957.0312.Calibration.storageManager.04.0000.dat', 'STREAM' => 'Calibration', 'LUMISECTION' => '312', 'START_TIME' => '0', 'TYPE' => 'streamer', 'FILESIZE' => '17066729', 'STOP_TIME' => '0', 'LFN' => '/store/t0streamer/Data/Calibration/000/157/957/Data.00157957.0312.Calibration.storageManager.04.0000.dat' }
Tue Feb 15 23:23:25 2011: { 'APP_VERSION' => 'CMSSW_3_11_0_ONLINE', 'APP_NAME' => 'CMSSW', 'Tier0Inject' => '1', 'HLTKEY' => '/cdaq/special/HLT_Basic/HLT_Basic_v2/V2', 'NEVENTS' => '137', 'RUNNUMBER' => '157957', 'CHECKSUM' => '89d1eaca', 'T0FirstKnownTime' => '0', 'PFN' => '/castor/cern.ch/cms/store/t0streamer/Data/Calibration/000/157/957/Data.00157957.0312.Calibration.storageManager.14.0000.dat', 'STREAM' => 'Calibration', 'LUMISECTION' => '312', 'START_TIME' => '0', 'TYPE' => 'streamer', 'FILESIZE' => '13462986', 'STOP_TIME' => '0', 'LFN' => '/store/t0streamer/Data/Calibration/000/157/957/Data.00157957.0312.Calibration.storageManager.14.0000.dat' }
Tue Feb 15 23:23:25 2011: { 'APP_VERSION' => 'CMSSW_3_11_0_ONLINE', 'APP_NAME' => 'CMSSW', 'Tier0Inject' => '1', 'HLTKEY' => '/cdaq/special/HLT_Basic/HLT_Basic_v2/V2', 'NEVENTS' => '129', 'RUNNUMBER' => '157957', 'CHECKSUM' => 'f0373923', 'T0FirstKnownTime' => '0', 'PFN' => '/castor/cern.ch/cms/store/t0streamer/Data/Calibration/000/157/957/Data.00157957.0312.Calibration.storageManager.00.0000.dat', 'STREAM' => 'Calibration', 'LUMISECTION' => '312', 'START_TIME' => '0', 'TYPE' => 'streamer', 'FILESIZE' => '12677835', 'STOP_TIME' => '0', 'LFN' => '/store/t0streamer/Data/Calibration/000/157/957/Data.00157957.0312.Calibration.storageManager.00.0000.dat' }
Tue Feb 15 23:23:25 2011: { 'APP_VERSION' => 'CMSSW_3_11_0_ONLINE', 'APP_NAME' => 'CMSSW', 'Tier0Inject' => '1', 'HLTKEY' => '/cdaq/special/HLT_Basic/HLT_Basic_v2/V2', 'NEVENTS' => '150', 'RUNNUMBER' => '157957', 'CHECKSUM' => 'ec7cb21c', 'T0FirstKnownTime' => '0', 'PFN' => '/castor/cern.ch/cms/store/t0streamer/Data/Calibration/000/157/957/Data.00157957.0312.Calibration.storageManager.13.0000.dat', 'STREAM' => 'Calibration', 'LUMISECTION' => '312', 'START_TIME' => '0', 'TYPE' => 'streamer', 'FILESIZE' => '14831856', 'STOP_TIME' => '0', 'LFN' => '/store/t0streamer/Data/Calibration/000/157/957/Data.00157957.0312.Calibration.storageManager.13.0000.dat' }
Tue Feb 15 23:23:25 2011: { 'APP_VERSION' => 'CMSSW_3_11_0_ONLINE', 'APP_NAME' => 'CMSSW', 'Tier0Inject' => '1', 'HLTKEY' => '/cdaq/special/HLT_Basic/HLT_Basic_v2/V2', 'NEVENTS' => '160', 'RUNNUMBER' => '157957', 'CHECKSUM' => '34b6d83e', 'T0FirstKnownTime' => '0', 'PFN' => '/castor/cern.ch/cms/store/t0streamer/Data/Calibration/000/157/957/Data.00157957.0312.Calibration.storageManager.01.0000.dat', 'STREAM' => 'Calibration', 'LUMISECTION' => '312', 'START_TIME' => '0', 'TYPE' => 'streamer', 'FILESIZE' => '15743591', 'STOP_TIME' => '0', 'LFN' => '/store/t0streamer/Data/Calibration/000/157/957/Data.00157957.0312.Calibration.storageManager.01.0000.dat' }
Tue Feb 15 23:23:25 2011: { 'APP_VERSION' => 'CMSSW_3_11_0_ONLINE', 'APP_NAME' => 'CMSSW', 'Tier0Inject' => '1', 'HLTKEY' => '/cdaq/special/HLT_Basic/HLT_Basic_v2/V2', 'NEVENTS' => '123', 'RUNNUMBER' => '157957', 'CHECKSUM' => 'eb0751f9', 'T0FirstKnownTime' => '0', 'PFN' => '/castor/cern.ch/cms/store/t0streamer/Data/Calibration/000/157/957/Data.00157957.0312.Calibration.storageManager.12.0000.dat', 'STREAM' => 'Calibration', 'LUMISECTION' => '312', 'START_TIME' => '0', 'TYPE' => 'streamer', 'FILESIZE' => '12118724', 'STOP_TIME' => '0', 'LFN' => '/store/t0streamer/Data/Calibration/000/157/957/Data.00157957.0312.Calibration.storageManager.12.0000.dat' }
Tue Feb 15 23:23:25 2011: { 'APP_VERSION' => 'CMSSW_3_11_0_ONLINE', 'APP_NAME' => 'CMSSW', 'Tier0Inject' => '1', 'HLTKEY' => '/cdaq/special/HLT_Basic/HLT_Basic_v2/V2', 'NEVENTS' => '271', 'RUNNUMBER' => '157957', 'CHECKSUM' => 'e721cc56', 'T0FirstKnownTime' => '0', 'PFN' => '/castor/cern.ch/cms/store/t0streamer/Data/Express/000/157/957/Data.00157957.0312.Express.storageManager.01.0000.dat', 'STREAM' => 'Express', 'LUMISECTION' => '312', 'START_TIME' => '0', 'TYPE' => 'streamer', 'FILESIZE' => '26058857', 'STOP_TIME' => '0', 'LFN' => '/store/t0streamer/Data/Express/000/157/957/Data.00157957.0312.Express.storageManager.01.0000.dat' }
Tue Feb 15 23:23:25 2011: { 'APP_VERSION' => 'CMSSW_3_11_0_ONLINE', 'APP_NAME' => 'CMSSW', 'Tier0Inject' => '1', 'HLTKEY' => '/cdaq/special/HLT_Basic/HLT_Basic_v2/V2', 'NEVENTS' => '244', 'RUNNUMBER' => '157957', 'CHECKSUM' => '69a3d6b7', 'T0FirstKnownTime' => '0', 'PFN' => '/castor/cern.ch/cms/store/t0streamer/Data/Express/000/157/957/Data.00157957.0312.Express.storageManager.12.0000.dat', 'STREAM' => 'Express', 'LUMISECTION' => '312', 'START_TIME' => '0', 'TYPE' => 'streamer', 'FILESIZE' => '23536921', 'STOP_TIME' => '0', 'LFN' => '/store/t0streamer/Data/Express/000/157/957/Data.00157957.0312.Express.storageManager.12.0000.dat' }
Tue Feb 15 23:23:25 2011: { 'APP_VERSION' => 'CMSSW_3_11_0_ONLINE', 'APP_NAME' => 'CMSSW', 'Tier0Inject' => '1', 'HLTKEY' => '/cdaq/special/HLT_Basic/HLT_Basic_v2/V2', 'NEVENTS' => '243', 'RUNNUMBER' => '157957', 'CHECKSUM' => '61406018', 'T0FirstKnownTime' => '0', 'PFN' => '/castor/cern.ch/cms/store/t0streamer/Data/Express/000/157/957/Data.00157957.0312.Express.storageManager.10.0000.dat', 'STREAM' => 'Express', 'LUMISECTION' => '312', 'START_TIME' => '0', 'TYPE' => 'streamer', 'FILESIZE' => '23431454', 'STOP_TIME' => '0', 'LFN' => '/store/t0streamer/Data/Express/000/157/957/Data.00157957.0312.Express.storageManager.10.0000.dat' }
Tue Feb 15 23:23:25 2011: { 'APP_VERSION' => 'CMSSW_3_11_0_ONLINE', 'APP_NAME' => 'CMSSW', 'Tier0Inject' => '1', 'HLTKEY' => '/cdaq/special/HLT_Basic/HLT_Basic_v2/V2', 'NEVENTS' => '253', 'RUNNUMBER' => '157957', 'CHECKSUM' => '50831a23', 'T0FirstKnownTime' => '0', 'PFN' => '/castor/cern.ch/cms/store/t0streamer/Data/HLTMON/000/157/957/Data.00157957.0312.HLTMON.storageManager.06.0000.dat', 'STREAM' => 'HLTMON', 'LUMISECTION' => '312', 'START_TIME' => '0', 'TYPE' => 'streamer', 'FILESIZE' => '25279560', 'STOP_TIME' => '0', 'LFN' => '/store/t0streamer/Data/HLTMON/000/157/957/Data.00157957.0312.HLTMON.storageManager.06.0000.dat' }
